-3.430000 -6.831601 -2.876289 -7.289171 0.029437 0.015559 0.062983 0.077860
-15.663814 -13.425190 -15.932990 -14.288018 0.039066 0.006794 0.061190 0.011966
-12.876392 -14.084171 -11.747423 -14.904954 0.020044 0.006151 0.027380 0.007180
-97.695258 -3.382414 1.695876 -2.115207 0.008759 0.008370 0.011212 0.052146
-17.483557 -9.521336 -17.572165 -7.418779 0.040925 0.006354 0.088946 0.010643
-195.251443 -15.957995 4.015464 -15.952189 0.024148 0.113032 0.016215 0.138906
-18.567320 -20.087523 -18.788660 -20.597350 0.084272 0.008341 0.031590 0.007821
-713.708505 -16.449833 -17.541237 -16.952765 0.061062 0.013271 0.052481 0.020534
2.999124 -113.719199 3.984536 -14.085829 0.026884 0.042365 0.015639 0.067758
-110.765309 -13.791515 -11.871134 -14.531682 0.029210 0.027064 0.043978 0.021370
-8.847371 -6.892465 -8.417526 -6.314516 0.016919 0.011081 0.054111 0.031366
-3.714691 -9.764119 -2.865979 -11.182604 0.011354 0.016133 0.039666 0.040645
5.565928 -10.580029 5.778351 -13.069700 0.019589 0.037341 0.020319 0.108549
-5.022629 -20.226463 -4.494845 -23.308756 0.054610 0.038012 0.040581 0.046155
-397.454691 -20.901256 2.268041 -22.142281 0.049900 0.097839 0.010293 0.064018
-4.786340 -3.907379 -4.365979 -2.991359 0.012521 0.008452 0.038176 0.052970
4.881856 -6.631590 5.402062 -7.081797 0.017944 0.021718 0.023775 0.115874
-11.753660 -5.438416 -10.458763 -5.547235 0.032269 0.007853 0.101162 0.022261
-105.684381 -6807.295835 -5.865979 -9999.000000 0.068491 0.079983 0.011721 0.017037
3.744742 -10.199084 2.752577 -11.229263 0.012407 0.030468 0.011974 0.095865
-595.831289 -25.252673 4.850515 -25.382488 0.045583 0.194735 0.008335 0.030616
3.267835 -17.375547 5.747423 -16.937212 0.025346 0.053078 0.020233 0.027053
-6.833660 -19.909078 -7.164948 -20.815092 0.081669 0.067745 0.042559 0.038540
8.073660 -19.285559 6.484536 -19.975230 0.010296 0.075951 0.006384 0.057975
